iter	Passed	Remaining
0	73	14722
1	102	10194
2	119	7866
3	137	6751
4	152	5944
5	168	5463
6	182	5032
7	194	4672
8	211	4488
9	228	4340
10	241	4143
11	260	4075
12	271	3903
13	288	3836
14	306	3776
15	338	3889
16	394	4249
17	416	4209
18	432	4121
19	471	4244
20	498	4248
21	542	4392
22	568	4377
23	592	4345
24	608	4262
25	671	4493
26	695	4458
27	711	4370
28	725	4279
29	741	4203
30	758	4135
31	774	4064
32	789	3997
33	805	3932
34	822	3878
35	838	3818
36	853	3758
37	864	3685
38	877	3623
39	891	3566
40	912	3538
41	942	3545
42	963	3517
43	994	3525
44	1017	3503
45	1060	3549
46	1099	3580
47	1116	3535
48	1133	3491
49	1159	3477
50	1228	3590
51	1257	3577
52	1270	3523
53	1294	3499
54	1311	3457
55	1328	3415
56	1351	3390
57	1371	3356
58	1390	3322
59	1402	3272
60	1415	3226
61	1431	3185
62	1449	3151
63	1463	3110
64	1482	3080
65	1498	3042
66	1514	3005
67	1528	2967
68	1545	2934
69	1566	2909
70	1578	2867
71	1592	2831
72	1610	2801
73	1629	2773
74	1657	2762
75	1702	2778
76	1740	2780
77	1764	2759
78	1778	2723
79	1804	2706
80	1894	2782
81	1964	2827
82	1993	2809
83	2010	2775
84	2031	2748
85	2054	2722
86	2067	2685
87	2090	2661
88	2118	2641
89	2133	2607
90	2149	2574
91	2167	2544
92	2214	2548
93	2232	2517
94	2246	2482
95	2261	2449
96	2284	2425
97	2319	2414
98	2344	2392
99	2365	2365
100	2385	2338
101	2400	2306
102	2413	2272
103	2440	2252
104	2455	2221
105	2479	2199
106	2496	2169
107	2523	2149
108	2544	2124
109	2565	2098
110	2580	2069
111	2622	2060
112	2640	2032
113	2651	2000
114	2680	1980
115	2695	1951
116	2710	1922
117	2722	1891
118	2736	1862
119	2752	1834
120	2769	1808
121	2798	1789
122	2831	1772
123	2862	1754
124	2890	1734
125	2926	1718
126	2950	1695
127	2966	1668
128	2979	1639
129	2990	1610
130	3022	1592
131	3038	1565
132	3066	1544
133	3118	1535
134	3135	1509
135	3153	1483
136	3214	1478
137	3280	1473
138	3312	1453
139	3323	1424
140	3347	1400
141	3362	1373
142	3373	1344
143	3386	1317
144	3397	1288
145	3411	1261
146	3425	1234
147	3435	1207
148	3446	1179
149	3456	1152
150	3468	1125
151	3480	1099
152	3496	1074
153	3509	1048
154	3581	1039
155	3611	1018
156	3671	1005
157	3756	998
158	3787	976
159	3835	958
160	3893	943
161	3920	919
162	3934	893
163	3946	866
164	3966	841
165	3982	815
166	3998	790
167	4015	764
168	4030	739
169	4042	713
170	4067	689
171	4081	664
172	4101	640
173	4118	615
174	4133	590
175	4148	565
176	4160	540
177	4187	517
178	4203	493
179	4219	468
180	4236	444
181	4256	420
182	4284	397
183	4295	373
184	4308	349
185	4320	325
186	4335	301
187	4356	278
188	4393	255
189	4456	234
190	4481	211
191	4519	188
192	4540	164
193	4572	141
194	4693	120
195	4748	96
196	4765	72
197	4782	48
198	4816	24
199	4889	0
